,Site,SiteName,Tree,Site.Tree,MD_WP_Mpa,PD_WP_Mpa,mAl_As,mLMA,Lat,Lon,ParentMat,ParentMatcomb,soil_depth,cwd.2018wy,aet.2018wy,pet.2018wy,ppt.2018wy,tmx.2018wy,tmn.2018wy,str.2018wy,pet.2018gs,ppt.2018sp,ppt.2018sm,tmx.2018gs
1,BLU,BORR,2,BLU.2,-3.8,-3.7,15.79277832,0.013141628,37.38259,-121.73221,sed,sed,0.649999976,781.3599987,389.7400026,1171.100006,356.5600008,20.38750021,10.41583331,7817.400024,852.5000076,51.01999939,0.01,24.45166715
2,BLU,BORR,3,BLU.3,-4.2,-4.025,13.45659783,0.016005062,37.38259,-121.73221,sed,sed,0.649999976,781.3599987,389.7400026,1171.100006,356.5600008,20.38750021,10.41583331,7817.400024,852.5000076,51.01999939,0.01,24.45166715
3,BLU,BORR,4,BLU.4,-3.6,-2.65,15.29957059,0.014496273,37.38259,-121.73221,sed,sed,0.649999976,781.3599987,389.7400026,1171.100006,356.5600008,20.38750021,10.41583331,7817.400024,852.5000076,51.01999939,0.01,24.45166715
4,BLU,BORR,516,BLU.516,-3.975,-3.65,21.87951618,0.015453745,37.38259,-121.73221,sed,sed,0.649999976,781.3599987,389.7400026,1171.100006,356.5600008,20.38750021,10.41583331,7817.400024,852.5000076,51.01999939,0.01,24.45166715
5,BLU,BORR,518,BLU.518,-3.475,-2.5,25.0579602,0.012160798,37.38259,-121.73221,sed,sed,0.649999976,781.3599987,389.7400026,1171.100006,356.5600008,20.38750021,10.41583331,7817.400024,852.5000076,51.01999939,0.01,24.45166715
6,BLU,BORR,519,BLU.519,-3.2,-2.45,NA,NA,37.38259,-121.73221,sed,sed,0.649999976,781.3599987,389.7400026,1171.100006,356.5600008,20.38750021,10.41583331,7817.400024,852.5000076,51.01999939,0.01,24.45166715
7,CNT,Cantua Creek,23,CNT.23,-3.166666667,-2.783333333,27.05213151,0.012201082,36.342172,-120.409585,sed,sed,0.860000014,1301.630001,53.46999979,1355.099998,182.8099962,24.27083341,9.986666576,7759.819946,997.8999939,8.689999819,0,30.37833341
8,CNT,Cantua Creek,271,CNT.271,-3.183333333,-1.95,20.40678175,0.014879219,36.342172,-120.409585,sed,sed,0.860000014,1301.630001,53.46999979,1355.099998,182.8099962,24.27083341,9.986666576,7759.819946,997.8999939,8.689999819,0,30.37833341
9,CNT,Cantua Creek,272,CNT.272,-4.083333333,-3.2625,17.74566023,0.012778065,36.342172,-120.409585,sed,sed,0.860000014,1301.630001,53.46999979,1355.099998,182.8099962,24.27083341,9.986666576,7759.819946,997.8999939,8.689999819,0,30.37833341
10,CNT,Cantua Creek,273,CNT.273,-3.516666667,-2.533333333,24.28707279,0.015465143,36.342172,-120.409585,sed,sed,0.860000014,1301.630001,53.46999979,1355.099998,182.8099962,24.27083341,9.986666576,7759.819946,997.8999939,8.689999819,0,30.37833341
11,CNT,Cantua Creek,400,CNT.400,-3.05,-1.166666667,24.79437563,0.01616913,36.342172,-120.409585,sed,sed,0.860000014,1301.630001,53.46999979,1355.099998,182.8099962,24.27083341,9.986666576,7759.819946,997.8999939,8.689999819,0,30.37833341
12,CNT,Cantua Creek,UNL,CNT.UNL,-4.016666667,-3.066666667,NA,NA,36.342172,-120.409585,sed,sed,0.860000014,1301.630001,53.46999979,1355.099998,182.8099962,24.27083341,9.986666576,7759.819946,997.8999939,8.689999819,0,30.37833341
13,DAL,Dales,1,DAL.1,-4.3,-1.45,NA,NA,40.301173,-122.098178,ig,igmet,0.25,669.0099983,511.289995,1180.29999,545.6299963,24.83,10.0241667,3879.730026,944.4999924,149.2300019,1.99000001,31.57999992
14,DAL,Dales,2,DAL.2,-3.2,-0.6,NA,NA,40.301173,-122.098178,ig,igmet,0.25,669.0099983,511.289995,1180.29999,545.6299963,24.83,10.0241667,3879.730026,944.4999924,149.2300019,1.99000001,31.57999992
15,DAL,Dales,3,DAL.3,-2.4,-0.7,NA,NA,40.301173,-122.098178,ig,igmet,0.25,669.0099983,511.289995,1180.29999,545.6299963,24.83,10.0241667,3879.730026,944.4999924,149.2300019,1.99000001,31.57999992
16,DAL,Dales,4,DAL.4,-2.4,-0.8,NA,NA,40.301173,-122.098178,ig,igmet,0.25,669.0099983,511.289995,1180.29999,545.6299963,24.83,10.0241667,3879.730026,944.4999924,149.2300019,1.99000001,31.57999992
17,DAL,Dales,5,DAL.5,-3.1,-1.5,NA,NA,40.301173,-122.098178,ig,igmet,0.25,669.0099983,511.289995,1180.29999,545.6299963,24.83,10.0241667,3879.730026,944.4999924,149.2300019,1.99000001,31.57999992
18,HOP,Hopland New Plot,1,HOP.1,-4.05,-3.616666667,15.23735785,0.014369903,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
19,HOP,Hopland New Plot,2,HOP.2,-3.9,-2.816666667,18.15707242,0.016314356,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
20,HOP,Hopland New Plot,3,HOP.3,-4.133333333,-3.966666667,22.86227821,0.014031663,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
21,HOP,Hopland New Plot,4,HOP.4,-3.95,-3.775,NA,NA,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
22,HOP,Hopland New Plot,5,HOP.5,NA,-4.225,NA,NA,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
23,HOP,Hopland New Plot,6,HOP.6,-4.025,-3.333333333,14.94964779,0.013319478,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
24,HOP,Hopland New Plot,7,HOP.7,-4.675,-4.25,23.27641791,0.011786978,39.014569,-123.095159,sed,sed,0.970000029,564.7900009,620.4100025,1185.20001,716.4299963,22.38250001,7.936666747,6631.810028,907.0000153,141.2199994,2.85999996,27.88666662
25,LPD,Los Padres,1,LPD.1,-4.45,-3.833333333,20.31196453,0.015985858,35.453908,-120.334131,sed,sed,0.529999971,1150.549988,261.449995,1411.999985,292.2600024,24.93249989,7.197499981,4720.200043,1006.799988,11.95000029,0.319999993,30.08999952
26,LPD,Los Padres,2,LPD.2,-4.475,-3.75,19.85402744,0.016511481,35.453908,-120.334131,sed,sed,0.529999971,1150.549988,261.449995,1411.999985,292.2600024,24.93249989,7.197499981,4720.200043,1006.799988,11.95000029,0.319999993,30.08999952
27,LPD,Los Padres,3,LPD.3,-4.35,-3.6,12.43901393,0.0159738,35.453908,-120.334131,sed,sed,0.529999971,1150.549988,261.449995,1411.999985,292.2600024,24.93249989,7.197499981,4720.200043,1006.799988,11.95000029,0.319999993,30.08999952
28,LPD,Los Padres,4,LPD.4,-4.85,-4.266666667,11.9926244,0.015713726,35.453908,-120.334131,sed,sed,0.529999971,1150.549988,261.449995,1411.999985,292.2600024,24.93249989,7.197499981,4720.200043,1006.799988,11.95000029,0.319999993,30.08999952
29,LPD,Los Padres,5,LPD.5,-4.125,-3.466666667,18.86498142,0.016316735,35.453908,-120.334131,sed,sed,0.529999971,1150.549988,261.449995,1411.999985,292.2600024,24.93249989,7.197499981,4720.200043,1006.799988,11.95000029,0.319999993,30.08999952
30,LYN,Lyonsville,1,LYN.1,-3.5,-1.35,19.55824928,0.015214617,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
31,LYN,Lyonsville,2,LYN.2,-4,-2.216666667,31.24740127,0.014504779,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
32,LYN,Lyonsville,3,LYN.3,-3.8,-1.1,12.36222844,0.015247369,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
33,LYN,Lyonsville,4,LYN.4,-3.6,-1.925,26.69477898,0.014854719,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
34,LYN,Lyonsville,5,LYN.5,-3.55,-1.225,18.7232722,0.014004375,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
35,LYN,Lyonsville,6,LYN.6,-2.7,-1.7,NA,NA,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
36,LYN,Lyonsville,7,LYN.7,-3.75,-2.2,NA,NA,40.346857,-121.87941,ig,igmet,1.169999957,684.149992,493.9500048,1178.1,704.2800003,22.9466664,9.753333449,9572.879944,939.3000031,160.6000037,6.32999998,29.63499959
37,MIN,MineralSprings,1,MIN.1,-3.2,-0.925,NA,NA,40.312904,-122.023796,ig,igmet,0.589999974,680.2800016,482.8199999,1163.100006,570.5800002,24.68166693,10.14833345,4903,933.3000031,149.699998,1.810000002,31.43833351
38,MIN,MineralSprings,2,MIN.2,-3.3,-0.975,NA,NA,40.312904,-122.023796,ig,igmet,0.589999974,680.2800016,482.8199999,1163.100006,570.5800002,24.68166693,10.14833345,4903,933.3000031,149.699998,1.810000002,31.43833351
39,MIN,MineralSprings,3,MIN.3,-4.4,-1.75,NA,NA,40.312904,-122.023796,ig,igmet,0.589999974,680.2800016,482.8199999,1163.100006,570.5800002,24.68166693,10.14833345,4903,933.3000031,149.699998,1.810000002,31.43833351
